Missingness %,Diploid Total Loci,Diploid Remaining Loci,Diploid Missing Loci,Diploid Actual Missingness %,PseudoHaploid Total Loci,PseudoHaploid Remaining Loci,PseudoHaploid Missing Loci,PseudoHaploid Actual Missingness %
1,449104,443111,5993,1.3344347857066514,449104,432207,16897,3.762380205921123
2,449104,438627,10477,2.3328672200648404,449104,427849,21255,4.732756777940076
5,449104,425204,23900,5.3217072214899,449104,414758,34346,7.647671808756992
10,449104,402827,46277,10.304294773593645,449104,392937,56167,12.506457301649506
20,449104,358049,91055,20.274813851580035,449104,349342,99762,22.213563005450855
30,449104,313308,135796,30.237094303323953,449104,305632,143472,31.946275250276106
40,449104,268561,180543,40.20071074851259,449104,261996,187108,41.662510242616406
50,449104,223817,225287,50.16365919697887,449104,218295,230809,51.393218497274574
60,449104,179032,270072,60.135736933984106,449104,174614,274490,61.11947344045032
70,449104,134274,314830,70.10180270048808,449104,131006,318098,70.82947379671523
80,449104,89515,359589,80.06809113256618,449104,87351,361753,80.54993943496383
90,449104,44773,404331,90.03059424988422,449104,43692,405412,90.27129573550893
